Date,"
Oil volume (m3/day)",Volume of liquid (m3/day),"
Gas volume (m3/day)",Water volume (m3/day),Water cut (%) ,"
Working hours","
Dynamic level (m)","
Reservoir pressure (atm)"
1/1/2013,49,70,13055,21,29,24,1819,214
1/2/2013,49,70,13055,21,29,24,1836,214
1/3/2013,49,70,13055,21,29,24,1788,214
1/4/2013,49,70,13055,21,29,24,1789,214
1/5/2013,44,70,11768,26,36,24,1825,214
1/6/2013,44,70,11768,26,36,24,1781,214
1/7/2013,43,68,11432,25,36,24,1790,214
1/8/2013,43,68,11432,25,36,24,1784,214
1/9/2013,43,68,11432,25,36,24,1831,214
1/10/2013,43,68,11432,25,36,24,1831,214
1/11/2013,43,68,11432,25,36,24,1828,214
1/12/2013,42,68,11253,26,37,24,1761,214
1/13/2013,43,69,11418,26,37,24,1789,214
1/14/2013,43,69,11418,26,37,24,1764,213
1/15/2013,44,71,11749,27,37,24,1764,213
1/16/2013,44,71,11749,27,37,24,1764,213
1/17/2013,44,71,11749,27,37,24,1754,213
1/18/2013,44,71,11749,27,37,24,1763,213
1/19/2013,46,70,12319,24,33,24,1768,213
1/20/2013,46,70,12319,24,33,24,1785,213
1/21/2013,44,70,11768,26,36,24,1788,213
1/22/2013,44,70,11768,26,36,24,1779,213
1/23/2013,44,70,11768,26,36,24,1786,213
1/24/2013,43,69,11600,26,36,24,1769,213
1/25/2013,43,69,11418,26,37,24,1781,213
1/26/2013,43,69,11418,26,37,24,1789,213
1/27/2013,43,69,11418,26,37,24,1785,213
1/28/2013,43,69,11418,26,37,24,1787,213
1/29/2013,43,69,11418,26,37,24,1779,213
1/30/2013,43,69,11418,26,37,24,1780,213
1/31/2013,47,70,12503,23,32,24,1780,213
2/1/2013,47,70,12503,23,32,24,1774,213
2/2/2013,47,72,12671,25,33,24,1766,213
2/3/2013,47,75,12608,28,36,24,1783,213
2/4/2013,47,75,12608,28,36,24,1770,213
2/5/2013,48,76,12776,28,36,24,1781,213
2/6/2013,49,78,13113,29,36,24,1773,213
2/7/2013,49,78,13113,29,36,24,1772,213
2/8/2013,49,78,13113,29,36,24,1764,213
2/9/2013,49,78,13113,29,36,24,1766,212
2/10/2013,48,78,12908,30,37,24,1763,212
2/11/2013,48,78,12908,30,37,24,1783,212
2/12/2013,49,79,13073,30,37,24,1784,212
2/13/2013,46,78,12293,32,40,24,1782,212
2/14/2013,46,78,12293,32,40,24,1793,212
2/15/2013,42,71,11190,29,40,24,1787,212
2/16/2013,41,70,11032,29,40,24,1781,212
2/17/2013,41,70,11032,29,40,24,1783,212
2/18/2013,41,70,11032,29,40,24,1788,212
2/19/2013,45,70,11952,25,35,24,1792,212
2/20/2013,45,70,12136,25,34,24,1794,212
